id;flow;type;actor;EN;IT
NODEL-da832ddb-67bd-4402-bf4f-1730702140014;FR-05 Castles;Choice;Guide;NO;--- to be translated ---
NODEL-88351988-d7cc-4010-9819-1730702147104;FR-05 Castles;Text;Museum Guide;Did you like the castles? There are 200 castles like this here on the Loire!;--- to be translated ---
NODEL-9d96ed7f-baa9-466f-98f0-1730702040108-aa-8b;FR-05 Castles;Text;Museum Guide;A draw-bridge is a type of moveable bridge used in castles;--- to be translated ---
NODEL-9d96ed7f-baa9-466f-98f0-1730702040108-aa-8b-cb-8e;FR-05 Castles;Text;Museum Guide;A parapet with gaps or indentations used for defence;--- to be translated ---
NODEL-0df01d96-8537-4229-9636-1730789682700;FR-05 Castles;Text;Tutor;an helmet;--- to be translated ---
NODEL-ec9980e3-af34-43b1-90e9-1730789741784;FR-05 Castles;Text;Tutor;hat;--- to be translated ---
NODEL-0df01d96-8537-4229-9636-1730789682700-38-bd;FR-05 Castles;Text;Tutor;sword;--- to be translated ---
NODEL-0df01d96-8537-4229-9636-1730789682700-38-bd-4a-92;FR-05 Castles;Text;Tutor;bows and arrow;--- to be translated ---
NODEL-0df01d96-8537-4229-9636-1730789682700-38-bd-4a-92-ba-b8;FR-05 Castles;Text;Tutor;this;--- to be translated ---
NODEL-1709e9b6-fc1d-4e69-b0b0-1730790820070;FR-05 Castles;Text;Museum Guide;;--- to be translated ---
NODEL-9d96ed7f-baa9-466f-98f0-1730702040108-89-98;FR-05 Castles;Text;Museum Guide;This castle is used for defense.;--- to be translated ---
NODEL-9d96ed7f-baa9-466f-98f0-1730702040108-89-98-0a-8d;FR-05 Castles;Text;Museum Guide;It is very old;--- to be translated ---
NODEL-4b0b8cab-b49a-46d0-97ef-1730791139071;FR-05 Castles;Text;Museum Guide;This castle is a castle where kings and princes organize balls, plays, concerts and invite their friends;--- to be translated ---
NODEL-ec9980e3-af34-43b1-90e9-1730789741784-c9-83;FR-05 Castles;Text;Tutor;musical instrument;--- to be translated ---
NODEL-ec9980e3-af34-43b1-90e9-1730789741784-c9-83-98-94;FR-05 Castles;Text;Tutor;dance shoe;--- to be translated ---
NODEL-ec9980e3-af34-43b1-90e9-1730789741784-c9-83-98-94-8a-9d;FR-05 Castles;Text;Tutor;ball mask;--- to be translated ---
NODEL-ec9980e3-af34-43b1-90e9-1730789741784-4a-9a;FR-05 Castles;Text;Tutor;this is the map of the castle;--- to be translated ---
NODEL-ec9980e3-af34-43b1-90e9-1730789741784-4a-9a-38-9d;FR-05 Castles;Text;Tutor;what a room!;--- to be translated ---
NODEL-ec9980e3-af34-43b1-90e9-1730789741784-4a-9a-38-9d-8b-8b;FR-05 Castles;Text;Tutor;it's very nice!;--- to be translated ---
NODEL-779d88be-4698-488d-8899-1730702509657;FR-06a Carnac & Menhirs;Text;Guide;The menhirs are in disarray! How can we fix them? If only we had the power of Obelix!;--- to be translated ---
NODEL-634e7c43-b6f1-4a15-b6fa-1730703652888;FR-08 Mont Blanc & Mountains;Text;Tutor;You have to go up the Mont Blanc, the highest mountain in Europe;--- to be translated ---
NODEL-0a16fb40-9155-448f-8c29-1730703681398;FR-08 Mont Blanc & Mountains;Text;Tutor;and put the 3 flags correctly;--- to be translated ---
NODEL-a5caffdc-cfde-4ec5-8ce9-1730703723327;FR-08 Mont Blanc & Mountains;Text;Tutor;;--- to be translated ---
NODEL-68f4d90a-3657-418a-a83d-1730703737733;FR-08 Mont Blanc & Mountains;Text;Tutor;;--- to be translated ---
NODEL-32dd0ede-2f53-4b37-ab46-1730703796970;FR-08 Mont Blanc & Mountains;Text;Tutor;;--- to be translated ---
NODEL-11e5b007-8de0-4f80-b970-1730702630595;FR-09 Cotes Dazur;Text;Guide;;--- to be translated ---
NODEL-4d032c1c-cd9b-4f59-9378-1730702654508;FR-09 Cotes Dazur;Text;man;I sell cheese and milk. I'm a cheesemonger;--- to be translated ---
NODEL-4d032c1c-cd9b-4f59-9378-1730702654508-9a-b7;FR-09 Cotes Dazur;Text;man;I sell meat. I'm a butcher.;--- to be translated ---
NODEL-4d032c1c-cd9b-4f59-9378-1730702654508-9a-b7-f9-b7;FR-09 Cotes Dazur;Text;man;I sell fruits and vegetables. I'm a greengrocer.;--- to be translated ---
NODEL-4d032c1c-cd9b-4f59-9378-1730702654508-78-a0;FR-09 Cotes Dazur;Text;man;We sell bread. We are bakers.;--- to be translated ---
NODEL-4d032c1c-cd9b-4f59-9378-1730702654508-2a-9f;FR-09 Cotes Dazur;Text;man;I sell ice cream. I'm an ice-cream maker.;--- to be translated ---
NODEL-4d032c1c-cd9b-4f59-9378-1730702654508-2a-9f-39-9b;FR-09 Cotes Dazur;Text;man;I sell fish. I'm a fishmonger.;--- to be translated ---
NODEL-4d032c1c-cd9b-4f59-9378-1730702654508-2a-9f-6b-bb;FR-09 Cotes Dazur;Text;man;I sell pepper, salt, huile and spices. I'm a grocer.;--- to be translated ---
NODEL-4d032c1c-cd9b-4f59-9378-1730702654508-2a-9f-6b-bb-09-a8;FR-09 Cotes Dazur;Text;man;I paint pictures. I am a painter.;--- to be translated ---
NODEL-6dc1581c-bd19-48d5-b5f8-1730703332905;FR-09 Cotes Dazur;Text;man;Maison de Cézanne à L'Estaque;--- to be translated ---
NODEL-25133112-828a-486d-a4e0-1730703463224;FR-09 Cotes Dazur;Text;man;Van Gogh;--- to be translated ---
NODEL-284e219a-de7f-48fd-bf34-1730703502717;FR-09 Cotes Dazur;Text;man;Henri Matisse | La cheminée du Roi, Marseille (1918);--- to be translated ---
NODEL-89305155-c398-4596-9c2e-1730703586181;FR-09 Cotes Dazur;Text;man;FRENCH COASTLINES;--- to be translated ---
NODEL-77392788-1d8b-4070-be9f-1728494736516-f8-b5;dev;Text;Tutor;the door open and closes;apri e chiudi la porta
NODEL-bb310a96-0d34-4456-a89e-1728494905481-f8-b5;dev;Text;Tutor;Now you have {$TOTAL_COINS} coins! and i close the door;Ora hai {$TOTAL_COINS} monete! e chiudo la porta.
NODEL-dab0f50e-8802-4415-ba6f-1728504030509-f8-b5;dev;Text;Teacher;Tutorial Isolated Node;Un bel nodo isolato
NODEL-80faedc9-81a9-4476-b9fd-1737105927808-f8-b5;dev;Text;Teacher;this is a sign, I open the door;Questo è un cartello. e ora apro la porta
NODEL-e8309dba-17fe-4c91-b4cb-1737109547821-f8-b5;dev;Text;Tutor;I'll give you 100 coins.;Ti darò 100 monete
NODHD-4e24b0b3-0934-4259-b464-1737549888618-f8-b5;dev;Node Header;Guide;QUIZ: calculate 3*2;QUIZ: calcola 3*2
NODEL-58b56a4b-c15b-4825-8f51-1737549888618-f8-b5;dev;Choice;Guide;It's 4;Fa 4
NODEL-df537116-c1c0-42b7-88f6-1737549925972-f8-b5;dev;Choice;Guide;It's 6;Fa 6
NODEL-13d80335-6c8b-4d22-8253-1737549928281-f8-b5;dev;Choice;Guide;It's 8;Fa 8
NODEL-261190c7-1cab-4f42-af1e-1737550113617-f8-b5;dev;Text;Guide;YES!;Ottimo
NODHD-6fd15267-9e28-4bbb-ab59-1737641167184-f8-b5;dev;Node Header;Guide;No. Do you want to try again?;No. Vuoi riprovare?
NODEL-e888838c-8df4-4916-ac62-1737550123064-f8-b5;dev;Choice;Guide;Yes;Si
NODEL-ba87b95b-779a-48fb-afa0-1737641182714-f8-b5;dev;Choice;Guide;No;--- to be translated ---
1ad6a268-a08a-44a8-a7ae-1652618922208-e9-a4-69-b6-f8-b5;dev;Text;Teacher;Sequence Line 1;--- to be translated ---
NODEL-a0181381-b53d-4126-8d9c-1737557093303-69-b6-f8-b5;dev;Text;Teacher;Sequence Line 2;--- to be translated ---
NODEL-dfc91972-762e-47e2-b545-1737557106087-69-b6-f8-b5;dev;Text;Teacher;Sequence Line 3;--- to be translated ---
1ad6a268-a08a-44a8-a7ae-1652618922208-e9-a4-69-b6-49-94-f8-b5;dev;Text;Teacher;Smart random Line 1;--- to be translated ---
NODEL-a0181381-b53d-4126-8d9c-1737557093303-69-b6-49-94-f8-b5;dev;Text;Teacher;Smart random Line 2;--- to be translated ---
NODEL-dfc91972-762e-47e2-b545-1737557106087-69-b6-49-94-f8-b5;dev;Text;Teacher;Smart random Line 3;--- to be translated ---
NODEL-6fc43837-e32d-4f7c-8922-1737641114014-f8-b5;dev;Text;Guide;Goodbye;Arrivederci
